year,unit_id,name,unit_type,area_km2,special_status_code,reason
1947,adm_1947_u_31,Мариинский горсовет - г. Мариинск,горсовет,5.43,,city_area_lt_50_km2
1947,adm_1947_u_32,Томский горсовет - г. Томск,горсовет,20.51,,city_area_lt_50_km2
1947,adm_1947_u_33,Тюменский горсовет - г. Тюмень,горсовет,14.92,,city_area_lt_50_km2
1947,adm_1947_u_34,Ханты-Мансийский горсовет - г. Ханты-Мансийск (окр ц),горсовет,7.14,,city_area_lt_50_km2
1959,adm_1959_225,Беловский горсовет,горсовет,5.25,,city_area_lt_50_km2
1959,adm_1959_226,Сталинский горсовет,горсовет,46.19,,city_area_lt_50_km2
1959,adm_1959_227,Ленинск-Кузнецкий горсовет,горсовет,4.6,,city_area_lt_50_km2
1959,adm_1959_228,Новосибирский горсовет,горсовет,29.51,,city_area_lt_50_km2
1959,adm_1959_229,Омский горсовет,горсовет,11.56,,city_area_lt_50_km2
1959,adm_1959_230,Кемеровский горсовет,горсовет,22.75,,city_area_lt_50_km2
1959,adm_1959_231,Тобольский горсовет,горсовет,2.94,,city_area_lt_50_km2
1959,adm_1959_233,Змеиногорский горсовет - г. Змеиногорск,горсовет,25.25,,city_area_lt_50_km2
1959,adm_1959_234,Рубцовский горсовет - г. Рубцовск,горсовет,12.0,,city_area_lt_50_km2
1959,adm_1959_235,Горно-Алтайский горсовет - г. Горно-Алтайск,горсовет,8.4,,city_area_lt_50_km2
1959,adm_1959_236,Бийский горсовет - г. Бийск,горсовет,5.39,,city_area_lt_50_km2
1959,adm_1959_237,Славгородский горсовет - г. Славгород,горсовет,7.22,,city_area_lt_50_km2
1959,adm_1959_238,Чесноковский горсовет - г. Чесноковка,горсовет,25.25,,city_area_lt_50_km2
1959,adm_1959_239,Камень-на-Обский горсовет - г. Камень-на-Оби,горсовет,1.58,,city_area_lt_50_km2
1959,adm_1959_240,Киселевский горсовет - г. Киселевск,горсовет,4.58,,city_area_lt_50_km2
1959,adm_1959_241,Прокопьевский горсовет - г. Прокопьевск,горсовет,5.47,,city_area_lt_50_km2
1959,adm_1959_242,Осинниковский горсовет,горсовет,2.77,,city_area_lt_50_km2
1959,adm_1959_243,Междуреченский горсовет - г. Междуреченск,горсовет,15.98,,city_area_lt_50_km2
1959,adm_1959_244,Гурьевский горсовет - г. Гурьевск,горсовет,1.88,,city_area_lt_50_km2
1959,adm_1959_245,Бердский горсовет - г. Бердск,горсовет,1.63,,city_area_lt_50_km2
1959,adm_1959_246,Искитимский горсовет - г. Искитим,горсовет,13.21,,city_area_lt_50_km2
1959,adm_1959_247,Барабинский горсовет - г. Барабинск,горсовет,2.3,,city_area_lt_50_km2
1959,adm_1959_248,Татарский горсовет - г. Татарск,горсовет,7.99,,city_area_lt_50_km2
1959,adm_1959_249,Юргинский горсовет - г. Юрга,горсовет,2.73,,city_area_lt_50_km2
1959,adm_1959_250,Куйбышевский горсовет - г. Куйбышев,горсовет,1.23,,city_area_lt_50_km2
1959,adm_1959_251,Тайгинский горсовет - г. Тайга,горсовет,2.41,,city_area_lt_50_km2
1959,adm_1959_252,Ишимский горсовет - г. Ишим,горсовет,0.83,,city_area_lt_50_km2
1959,adm_1959_253,Анжеро-Судженский горсовет - г. Анжеро-Судженск,горсовет,29.3,,city_area_lt_50_km2
1959,adm_1959_254,Мариинский горсовет - г. Мариинск,горсовет,5.43,,city_area_lt_50_km2
1959,adm_1959_255,Томский горсовет - г. Томск,горсовет,20.51,,city_area_lt_50_km2
1959,adm_1959_256,Тюменский горсовет - г. Тюмень,горсовет,14.92,,city_area_lt_50_km2
1959,adm_1959_257,Ханты-Мансийский горсовет - г. Ханты-Мансийск (окр ц),горсовет,7.14,,city_area_lt_50_km2
1964,adm_1964_218,Беловский горсовет,горсовет,5.25,,city_area_lt_50_km2
1964,adm_1964_219,Сталинский горсовет,горсовет,46.19,,city_area_lt_50_km2
1964,adm_1964_220,Ленинск-Кузнецкий горсовет,горсовет,4.6,,city_area_lt_50_km2
1964,adm_1964_221,Новосибирский горсовет,горсовет,29.51,,city_area_lt_50_km2
1964,adm_1964_222,Омский горсовет,горсовет,11.56,,city_area_lt_50_km2
1964,adm_1964_223,Кемеровский горсовет,горсовет,22.75,,city_area_lt_50_km2
1964,adm_1964_224,Тобольский горсовет,горсовет,2.94,,city_area_lt_50_km2
1964,adm_1964_228,Горно-Алтайский горсовет - г. Горно-Алтайск,горсовет,8.4,,city_area_lt_50_km2
