year,unit_id,name,admin_parent,admin_intermediate,admin_superparent,area_km2,reason
1923,urban_1923_5,Каинск / Куйбышев,Ново-Николаевская губерния,Ново-Николаевская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_6,Камень-на-Оби,Ново-Николаевская губерния,Ново-Николаевская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_7,Кузнецк / Сталинск / Новокузнецк,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_8,Мариинск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_9,Ново-Николаевск / Новосибирск,Ново-Николаевская губерния,Ново-Николаевская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_10,Омск,Омская губерния,Омская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_11,Славгород,Омская губерния,Омская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_12,Тара,Омская губерния,Омская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_13,Татарск,Омская губерния,Омская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_14,Тобольск,Тюменская губерния,Тюменская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_15,Томск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_16,Тюкалинск,Омская губерния,Омская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_17,Тюмень,Тюменская губерния,Тюменская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_18,Щегловск / Кемерово,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_19,Ялуторовск,Тюменская губерния,Тюменская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1926,adm_1926_100,Звериноголовский,Курганский округ,Курганский округ,Уральская область,2785.26,v104_stat_scope_exclusion
1926,adm_1926_115,Половинский,Курганский округ,Курганский округ,Уральская область,2075.27,v104_stat_scope_exclusion
1926,adm_1926_117,Глядянский,Курганский округ,Курганский округ,Уральская область,1972.54,v104_stat_scope_exclusion
1926,adm_1926_118,Лопатинский,Курганский округ,Курганский округ,Уральская область,2297.61,v104_stat_scope_exclusion
1926,adm_1926_120,Куртамышский,Курганский округ,Курганский округ,Уральская область,1685.56,v104_stat_scope_exclusion
1926,adm_1926_126,Утятский,Курганский округ,Курганский округ,Уральская область,1710.57,v104_stat_scope_exclusion
1926,adm_1926_139,Макушинский,Курганский округ,Курганский округ,Уральская область,2599.1,v104_stat_scope_exclusion
1926,adm_1926_141,Варгашинский,Курганский округ,Курганский округ,Уральская область,1628.87,v104_stat_scope_exclusion
1926,adm_1926_143,Лебяжьевский,Курганский округ,Курганский округ,Уральская область,2094.39,v104_stat_scope_exclusion
1926,adm_1926_152,Юргамышский,Курганский округ,Курганский округ,Уральская область,2019.01,v104_stat_scope_exclusion
1926,adm_1926_154,Чаусовский,Курганский округ,Курганский округ,Уральская область,2882.63,v104_stat_scope_exclusion
1926,adm_1926_157,Песчанский,Шадринский округ,Шадринский округ,Уральская область,1367.47,v104_stat_scope_exclusion
1926,adm_1926_167,Мокроусовский,Курганский округ,Курганский округ,Уральская область,2399.4,v104_stat_scope_exclusion
1926,adm_1926_169,Батуринский,Шадринский округ,Шадринский округ,Уральская область,1251.75,v104_stat_scope_exclusion
1926,adm_1926_173,Верхтеченский,Шадринский округ,Шадринский округ,Уральская область,981.38,v104_stat_scope_exclusion
1926,adm_1926_176,Марайский,Курганский округ,Курганский округ,Уральская область,2095.37,v104_stat_scope_exclusion
1926,adm_1926_180,Каргопольский,Шадринский округ,Шадринский округ,Уральская область,1863.48,v104_stat_scope_exclusion
1926,adm_1926_183,Белоярский,Шадринский округ,Шадринский округ,Уральская область,1244.52,v104_stat_scope_exclusion
1926,adm_1926_188,Чашинский,Курганский округ,Курганский округ,Уральская область,1618.13,v104_stat_scope_exclusion
1926,adm_1926_189,Белозерский,Курганский округ,Курганский округ,Уральская область,2466.49,v104_stat_scope_exclusion
1926,adm_1926_192,Исетский,Шадринский округ,Шадринский округ,Уральская область,1519.33,v104_stat_scope_exclusion
1926,adm_1926_195,Багарякский,Шадринский округ,Шадринский округ,Уральская область,1530.06,v104_stat_scope_exclusion
1926,adm_1926_2,,,,,674.72,missing_name_or_unit_type
1926,adm_1926_202,Долматовский,Шадринский округ,Шадринский округ,Уральская область,1474.49,v104_stat_scope_exclusion
1926,adm_1926_203,Катайский,Шадринский округ,Шадринский округ,Уральская область,1771.34,v104_stat_scope_exclusion
1926,adm_1926_206,Мехонский,Шадринский округ,Шадринский округ,Уральская область,1597.08,v104_stat_scope_exclusion
1926,adm_1926_207,Ольховский,Шадринский округ,Шадринский округ,Уральская область,1974.85,v104_stat_scope_exclusion
1926,adm_1926_210,Покровский,Шадринский округ,Шадринский округ,Уральская область,1041.91,v104_stat_scope_exclusion
1926,adm_1926_222,Четкаринский,Шадринский округ,Шадринский округ,Уральская область,1502.87,v104_stat_scope_exclusion
1926,adm_1926_223,Каменский,Шадринский округ,Шадринский округ,Уральская область,1751.65,v104_stat_scope_exclusion
1926,adm_1926_224,Буткинский,Шадринский округ,Шадринский округ,Уральская область,1609.04,v104_stat_scope_exclusion
1926,adm_1926_237,Курьинский,Шадринский округ,Шадринский округ,Уральская область,1314.4,v104_stat_scope_exclusion
1926,adm_1926_241,Камышловский,Шадринский округ,Шадринский округ,Уральская область,1905.52,v104_stat_scope_exclusion
1926,adm_1926_242,Пышминский,Шадринский округ,Шадринский округ,Уральская область,1174.27,v104_stat_scope_exclusion
1926,adm_1926_251,Заводоирбитский (Ирбитско-Заводский),Ирбитский округ,Ирбитский округ,Уральская область,1473.59,v104_stat_scope_exclusion
1926,adm_1926_253,Байкаловский,Ирбитский округ,Ирбитский округ,Уральская область,1088.3,v104_stat_scope_exclusion
1926,adm_1926_254,Зайковский,Ирбитский округ,Ирбитский округ,Уральская область,1360.38,v104_stat_scope_exclusion
1926,adm_1926_259,Еланский,Ирбитский округ,Ирбитский округ,Уральская область,1183.74,v104_stat_scope_exclusion
1926,adm_1926_262,Ирбитский,Ирбитский округ,Ирбитский округ,Уральская область,1939.32,v104_stat_scope_exclusion
1926,adm_1926_263,Невьянский,Ирбитский округ,Ирбитский округ,Уральская область,1331.68,v104_stat_scope_exclusion
1926,adm_1926_267,Слободотуринский,Ирбитский округ,Ирбитский округ,Уральская область,2571.44,v104_stat_scope_exclusion
