year,unit_id,name,unit_type,admin_parent,total_boundary_km,coast_km,river_km,lake_km,watershed_km,inherited_km,unexplained_km,coast_pct,river_pct,lake_pct,watershed_pct,inherited_pct,unexplained_pct,dominant_origin,dominant_origin_pct
1727,adm_1727_013,Красноярский уезд,уезд,Енисейская провинция,2316.152,0.0,590.0,10.0,1176.152,340.0,200.0,0.0,25.47,0.43,50.78,14.68,8.64,watershed,50.78
1727,adm_1727_014,Енисейский уезд,уезд,Енисейская провинция,2098.118,0.0,538.118,0.0,1050.0,250.0,260.0,0.0,25.65,0.0,50.04,11.92,12.39,watershed,50.04
1727,adm_1727_015,Енисейский уезд,уезд,Енисейская провинция,8.952,0.0,0.0,0.0,8.952,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,watershed,100.0
1727,adm_1727_016,Томский уезд,уезд,Енисейская провинция,35.188,0.0,25.188,0.0,10.0,0.0,0.0,0.0,71.58,0.0,28.42,0.0,0.0,river,71.58
1727,adm_1727_017,Туринский уезд,уезд,Тобольская провинция,574.022,0.0,80.0,0.0,384.022,50.0,60.0,0.0,13.94,0.0,66.9,8.71,10.45,watershed,66.9
1727,adm_1727_018,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,2105.723,0.0,770.0,130.0,790.0,225.723,190.0,0.0,36.57,6.17,37.52,10.72,9.02,watershed,37.52
1727,adm_1727_019,Верхотурский уезд,уезд,Тобольская провинция,1835.81,0.0,510.0,0.0,910.0,105.81,310.0,0.0,27.78,0.0,49.57,5.76,16.89,watershed,49.57
1727,adm_1727_020,Пелымский уезд,уезд,Тобольская провинция,1525.695,0.0,585.695,20.0,750.0,30.0,140.0,0.0,38.39,1.31,49.16,1.97,9.18,watershed,49.16
1727,adm_1727_021,Тобольский уезд,уезд,Тобольская провинция,2008.712,0.0,690.0,20.0,980.0,160.0,158.712,0.0,34.35,1.0,48.79,7.97,7.9,watershed,48.79
1727,adm_1727_022,Тюменский уезд,уезд,Тобольская провинция,1700.496,0.0,600.496,50.0,650.0,180.0,220.0,0.0,35.31,2.94,38.22,10.59,12.94,watershed,38.22
1727,adm_1727_023,Сургутский уезд,уезд,Тобольская провинция,2651.999,0.0,660.0,50.0,1641.999,10.0,290.0,0.0,24.89,1.89,61.92,0.38,10.94,watershed,61.92
1727,adm_1727_024,Кетский уезд,уезд,Тобольская провинция,1313.515,0.0,450.0,10.0,703.515,50.0,100.0,0.0,34.26,0.76,53.56,3.81,7.61,watershed,53.56
1745,adm_1745_001,Мангазейский уезд,уезд,Енисейская провинция,17280.732,12023.384,1367.348,0.0,2680.0,120.0,1090.0,69.58,7.91,0.0,15.51,0.69,6.31,coastline,69.58
