year;unit_id;name;unit_type;admin_parent;admin_intermediate;admin_superparent;nb_total_boundary_km;nb_coast_km;nb_coast_pct;nb_river_km;nb_river_pct;nb_lake_km;nb_lake_pct;nb_watershed_flowing_km;nb_watershed_flowing_pct;nb_watershed_endo_km;nb_watershed_endo_pct;nb_watershed_km;nb_watershed_pct;nb_wetland_km;nb_wetland_pct;nb_wetland_data_available;nb_unexplained_physical_km;nb_unexplained_physical_pct;nb_unexplained_km;nb_unexplained_pct;nb_match_2021_km;nb_match_2021_pct;nb_match_mo_km;nb_match_mo_pct;nb_admin_memory_km;nb_admin_memory_pct;nb_rail_km;nb_rail_pct;nb_admin_infra_union_km;nb_admin_infra_union_pct;nb_geometric_candidate_km;nb_geometric_candidate_pct;nb_rectilinear_candidate_km;nb_rectilinear_candidate_pct;nb_dominant_physical_origin;nb_dominant_physical_origin_label;nb_dominant_physical_origin_pct;nb_dominant_origin;nb_dominant_origin_label;nb_dominant_origin_pct;nb_method_version;nb_method_note
1719;adm_1719_002;Туруханский уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;17216.65;12395.524;72.0;1729.957;10.05;0.0;0.0;2549.98;14.81;0.0;0.0;2549.98;14.81;;;False;541.189;3.14;541.189;3.14;2950.546;17.14;7042.246;40.9;9992.792;58.04;28.8;0.17;10021.592;58.21;431.19;2.5;140.001;0.81;coastline;береговая линия;72.0;coastline;береговая линия;72.0;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_003;Берёзовский уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;6992.922;3581.75;51.22;819.997;11.73;50.0;0.72;2131.184;30.48;0.0;0.0;2131.184;30.48;;;False;409.991;5.86;409.991;5.86;5100.915;72.94;78.797;1.13;5162.855;73.83;52.227;0.75;5201.197;74.38;370.002;5.29;150.001;2.15;coastline;береговая линия;51.22;coastline;береговая линия;51.22;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_004;Спорная зона Берёзовского / Мангазейского уездов;спорная территория;Тобольская провинция;Тобольская провинция;Сибирская губерния;2276.163;689.992;30.31;679.997;29.87;20.001;0.88;676.184;29.71;0.0;0.0;676.184;29.71;;;False;209.99;9.23;209.99;9.23;808.464;35.52;0.0;0.0;808.464;35.52;24.0;1.05;832.464;36.57;179.997;7.91;50.0;2.2;coastline;береговая линия;30.31;coastline;береговая линия;30.31;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_005;Спорная зона Мангазейского / Берёзовского уездов;спорная территория;Тобольская провинция;Тобольская провинция;Сибирская губерния;1093.339;0.0;0.0;483.356;44.21;0.0;0.0;429.983;39.33;0.0;0.0;429.983;39.33;;;False;180.0;16.46;180.0;16.46;101.962;9.33;0.0;0.0;101.962;9.33;0.0;0.0;101.962;9.33;160.001;14.63;100.001;9.15;river;река;44.21;river;река;44.21;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_006;Томский уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;2340.532;0.0;0.0;479.974;20.51;10.0;0.43;1182.821;50.54;17.776;0.76;1200.596;51.3;;;False;649.962;27.77;649.962;27.77;397.404;16.98;714.444;30.52;858.411;36.68;52.864;2.26;884.581;37.79;459.989;19.65;99.99;4.27;watershed_flowing;водораздел сточных бассейнов;50.54;watershed_flowing;водораздел сточных бассейнов;50.54;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_007;Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская);степная территория без уезда;Тобольская провинция;Территория без устойчивого уездного деления;Сибирская губерния;1956.593;0.0;0.0;679.991;34.75;0.0;0.0;916.472;46.84;20.138;1.03;936.61;47.87;;;False;339.991;17.38;339.991;17.38;478.299;24.45;782.823;40.01;796.654;40.72;41.528;2.12;801.532;40.97;319.99;16.35;100.0;5.11;watershed_flowing;водораздел сточных бассейнов;46.84;watershed_flowing;водораздел сточных бассейнов;46.84;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_009;Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск;степная территория без уезда;Тобольская провинция;Территория без устойчивого уездного деления;Сибирская губерния;1761.312;0.0;0.0;999.999;56.78;0.0;0.0;323.17;18.35;76.8;4.36;399.97;22.71;;;False;361.344;20.52;361.344;20.52;175.283;9.95;469.465;26.65;483.495;27.45;88.925;5.05;563.683;32.0;281.346;15.97;91.348;5.19;river;река;56.78;river;река;56.78;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_010;Кузнецкий уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;2046.825;0.0;0.0;330.001;16.12;0.0;0.0;1133.297;55.37;83.572;4.08;1216.869;59.45;;;False;499.955;24.43;499.955;24.43;631.147;30.84;983.67;48.06;1141.492;55.77;47.811;2.34;1162.723;56.81;289.972;14.17;119.981;5.86;watershed_flowing;водораздел сточных бассейнов;55.37;watershed_flowing;водораздел сточных бассейнов;55.37;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_011;Красноярский уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;2316.081;0.0;0.0;589.998;25.47;10.0;0.43;1176.128;50.78;0.0;0.0;1176.128;50.78;;;False;539.954;23.31;539.954;23.31;48.0;2.07;1098.097;47.41;1098.097;47.41;13.162;0.57;1098.097;47.41;439.983;19.0;120.001;5.18;watershed_flowing;водораздел сточных бассейнов;50.78;watershed_flowing;водораздел сточных бассейнов;50.78;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_012;Енисейский уезд;уезд;Тобольская провинция;Тобольская провинция;Сибирская губерния;2098.077;0.0;0.0;538.109;25.65;0.0;0.0;1049.993;50.05;0.0;0.0;1049.993;50.05;;;False;509.975;24.31;509.975;24.31;4.283;0.2;392.107;18.69;392.107;18.69;0.0;0.0;392.107;18.69;419.996;20.02;190.0;9.06;watershed_flowing;водораздел сточных бассейнов;50.05;watershed_flowing;водораздел сточных бассейнов;50.05;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
