year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation,contact_method,is_bridge
1821,adm_1821_016,Каинский уезд,Томская губерния,adm_1821_017,Омский уезд,Тобольская губерния,141.139,cross_parent,shared_boundary,False
1821,adm_1821_006,Кузнецкий уезд,Томская губерния,adm_1821_024,Красноярский уезд,Томская губерния,676.803,same_parent,shared_boundary,False
1821,adm_1821_006,Кузнецкий уезд,Томская губерния,adm_1821_014,Томский уезд,Томская губерния,249.119,same_parent,shared_boundary,False
1821,adm_1821_007,Курганский уезд,Тобольская губерния,adm_1821_009,Ишимский узед,Тобольская губерния,134.89,same_parent,shared_boundary,False
1821,adm_1821_007,Курганский уезд,Тобольская губерния,adm_1821_010,Ялуторовский уезд,Тобольская губерния,125.72,same_parent,shared_boundary,False
1821,adm_1821_012,Нарымский уезд,Томская губерния,adm_1821_018,Енисейский уезд,Томская губерния,546.945,same_parent,shared_boundary,False
1821,adm_1821_012,Нарымский уезд,Томская губерния,adm_1821_016,Каинский уезд,Томская губерния,276.347,same_parent,shared_boundary,False
1821,adm_1821_012,Нарымский уезд,Томская губерния,adm_1821_024,Красноярский уезд,Томская губерния,2.384,same_parent,overlap_sliver_boundary,False
1821,adm_1821_012,Нарымский уезд,Томская губерния,adm_1821_014,Томский уезд,Томская губерния,267.28,same_parent,shared_boundary,False
1821,adm_1821_013,Тарский уезд,Тобольская губерния,adm_1821_016,Каинский уезд,Томская губерния,271.659,cross_parent,shared_boundary,False
1821,adm_1821_013,Тарский уезд,Тобольская губерния,adm_1821_017,Омский уезд,Тобольская губерния,378.967,same_parent,shared_boundary,False
1821,adm_1821_013,Тарский уезд,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,295.942,same_parent,shared_boundary,False
1821,adm_1821_014,Томский уезд,Томская губерния,adm_1821_016,Каинский уезд,Томская губерния,116.635,same_parent,shared_boundary,False
1821,adm_1821_014,Томский уезд,Томская губерния,adm_1821_024,Красноярский уезд,Томская губерния,104.694,same_parent,shared_boundary,False
1821,adm_1821_011,Туринский уезд,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,397.941,same_parent,shared_boundary,False
1821,adm_1821_001,Туруханский уезд,Томская губерния,adm_1821_004,Березовский уезд,Тобольская губерния,624.826,cross_parent,shared_boundary,False
1821,adm_1821_001,Туруханский уезд,Томская губерния,adm_1821_018,Енисейский уезд,Томская губерния,1622.147,same_parent,shared_boundary,False
1821,adm_1821_001,Туруханский уезд,Томская губерния,adm_1821_012,Нарымский уезд,Томская губерния,471.928,same_parent,shared_boundary,False
1821,adm_1821_008,Тюменский уезд,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,91.743,same_parent,shared_boundary,False
1821,adm_1821_008,Тюменский уезд,Тобольская губерния,adm_1821_011,Туринский уезд,Тобольская губерния,140.624,same_parent,shared_boundary,False
1821,adm_1821_008,Тюменский уезд,Тобольская губерния,adm_1821_010,Ялуторовский уезд,Тобольская губерния,187.525,same_parent,shared_boundary,False
1821,adm_1821_010,Ялуторовский уезд,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,73.706,same_parent,shared_boundary,False
1838,adm_1838_007,Барнаульский округ,Томская губерния,adm_1838_008,Колыванский округ,Томская губерния,232.439,same_parent,shared_boundary,False
1838,adm_1838_001,Берёзовский округ,Тобольская губерния,adm_1838_002,Каинский округ,Томская губерния,30.737,cross_parent,shared_boundary,False
1838,adm_1838_001,Берёзовский округ,Тобольская губерния,adm_1838_005,Тарский округ,Тобольская губерния,404.954,same_parent,shared_boundary,False
1838,adm_1838_001,Берёзовский округ,Тобольская губерния,adm_1838_015,Тобольский округ,Тобольская губерния,491.912,same_parent,shared_boundary,False
1838,adm_1838_001,Берёзовский округ,Тобольская губерния,adm_1838_006,Томский округ,Томская губерния,274.987,cross_parent,shared_boundary,False
1838,adm_1838_001,Берёзовский округ,Тобольская губерния,adm_1838_014,Туринский округ,Тобольская губерния,293.169,same_parent,shared_boundary,False
1838,adm_1838_003,Бийский округ,Томская губерния,adm_1838_007,Барнаульский округ,Томская губерния,420.17,same_parent,shared_boundary,False
1838,adm_1838_003,Бийский округ,Томская губерния,adm_1838_004,Кузнецкий округ,Томская губерния,248.825,same_parent,shared_boundary,False
1838,adm_1838_003,Бийский округ,Томская губерния,adm_1838_019,Семипалатинский округ,Омская область,276.663,cross_parent,shared_boundary,False
1838,adm_1838_003,Бийский округ,Томская губерния,adm_1838_027,Усть-Каменогорский округ,Омская область,290.124,cross_parent,shared_boundary,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_011,Курганский округ,Тобольская губерния,117.118,same_parent,shared_boundary,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_021,Омский округ,Омская область,21.015,cross_parent,near_coincident_boundary_snap,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_020,Петропавловский округ,Омская область,112.398,cross_parent,shared_boundary,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_015,Тобольский округ,Тобольская губерния,65.114,same_parent,shared_boundary,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_016,Тюкаинский округ,Тобольская губерния,246.039,same_parent,shared_boundary,False
1838,adm_1838_010,Ишимский округ,Тобольская губерния,adm_1838_012,Ялуторовский округ,Тобольская губерния,97.372,same_parent,shared_boundary,False
1838,adm_1838_002,Каинский округ,Томская губерния,adm_1838_007,Барнаульский округ,Томская губерния,139.284,same_parent,shared_boundary,False
