year,unit_id_a,name_a,unit_type_a,unit_id_b,name_b,unit_type_b,shared_boundary_km
1959,adm_1959_52,Ребрихинский район (сельское население),район,adm_1959_61,Павловский район,район,37.925
1959,adm_1959_52,Ребрихинский район (сельское население),район,adm_1959_66,Шелаболихинский район (сельское население),район,31.639
1959,adm_1959_54,Славгородский район * (сельское население),район,adm_1959_56,Знаменский район (сельское население),район,82.042
1959,adm_1959_54,Славгородский район * (сельское население),район,adm_1959_65,Бурлинский район (сельское население),район,184.808
1959,adm_1959_55,Барнаульский горсовет,горсовет,adm_1959_62,Косихинский район (сельское население),район,51.234
1959,adm_1959_55,Барнаульский горсовет,горсовет,adm_1959_61,Павловский район,район,103.07
1959,adm_1959_55,Барнаульский горсовет,горсовет,adm_1959_70,Краюшкинский район,район,31.813
1959,adm_1959_56,Знаменский район (сельское население),район,adm_1959_58,Суетский район (сельское население),район,90.728
1959,adm_1959_56,Знаменский район (сельское население),район,adm_1959_69,Хабарский район (сельское население),район,72.334
1959,adm_1959_57,Ельцовский район (сельское население),район,adm_1959_64,Кузедеевский район,район,56.475
1959,adm_1959_57,Ельцовский район (сельское население),район,adm_1959_73,Тогульский район (сельское население),район,141.591
1959,adm_1959_58,Суетский район (сельское население),район,adm_1959_63,Баевский район (сельское население),район,80.57
1959,adm_1959_58,Суетский район (сельское население),район,adm_1959_69,Хабарский район (сельское население),район,75.441
1959,adm_1959_58,Суетский район (сельское население),район,adm_1959_75,Панкрушихинский район (сельское население),район,4.212
1959,adm_1959_59,Таштагольский район,район,adm_1959_64,Кузедеевский район,район,159.832
1959,adm_1959_59,Таштагольский район,район,adm_1959_67,Мыскинский горсовет,горсовет,79.561
