year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1724,adm_1724_030,Пелымский уезд,уезд,Тобольская провинция,,,,,88821.286,,0,0,0,,,,,,,,,,,,
1724,adm_1724_031,Тобольский уезд,уезд,Тобольская провинция,,,,,111783.898,,0,0,0,,,,,,,,,,,,
1724,adm_1724_032,Тюменский уезд,уезд,Тобольская провинция,,,,,128958.281,,0,0,0,,,,,,,,,,,,
1724,adm_1724_033,Сургутский уезд,уезд,Тобольская провинция,,,,,277539.629,,0,0,0,,,,,,,,,,,,
1724,adm_1724_034,Кетский уезд,уезд,Енисейская провинция,,,,,79619.959,,0,0,0,,,,,,,,,,,,
1727,adm_1727_001,Иркутская провинция,провинция,Иркутская провинция,,,,,6198792.934,,0,0,0,,,,,,,,,,,,
1727,adm_1727_002,Туруханский уезд,уезд,Енисейская провинция,,,,,2225679.032,,0,0,0,,,,,,,,,,,,
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,Тобольская провинция,,,,,47614.565,,0,0,0,,,,,,,,,,,,
1727,adm_1727_004,Берёзовский уезд,уезд,Тобольская провинция,,,,,633034.113,,0,0,0,,,,,,,,,,,,
1727,adm_1727_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,Тобольская провинция,,,,,133682.37,,0,0,0,,,,,,,,,,,,
1727,adm_1727_006,Томский уезд,уезд,Тобольская провинция,,,,,217497.489,,0,0,0,,,,,,,,,,,,
1727,adm_1727_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,Тобольская провинция,,,,,176416.566,,0,0,0,,,,,,,,,,,,
1727,adm_1727_008,Нарымский уезд,уезд,Тобольская провинция,,,,,117865.933,,0,0,0,,,,,,,,,,,,
1727,adm_1727_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,Тобольская провинция,,,,,0.0,,0,0,0,,,,,,,,,,,,
1727,adm_1727_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,Тобольская провинция,,,,,148988.33,,0,0,0,,,,,,,,,,,,
1727,adm_1727_011,Кузнецкий уезд,уезд,Тобольская провинция,,,,,178084.487,,0,0,0,,,,,,,,,,,,
1727,adm_1727_012,Тарский уезд,АТЕ,Тобольская провинция,,,,,90996.544,,0,0,0,,,,,,,,,,,,
1727,adm_1727_013,Красноярский уезд,уезд,Енисейская провинция,,,,,228393.281,,0,0,0,,,,,,,,,,,,
1727,adm_1727_014,Енисейский уезд,уезд,Енисейская провинция,,,,,219775.479,,0,0,0,,,,,,,,,,,,
1727,adm_1727_015,Енисейский уезд,уезд,Енисейская провинция,,,,,0.003,,0,0,0,,,,,,,,,,,,
1727,adm_1727_016,Томский уезд,уезд,Енисейская провинция,,,,,32.364,,0,0,0,,,,,,,,,,,,
1727,adm_1727_017,Туринский уезд,уезд,Тобольская провинция,,,,,18085.892,,0,0,0,,,,,,,,,,,,
1727,adm_1727_018,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,,,,,89111.693,,0,0,0,,,,,,,,,,,,
1727,adm_1727_019,Верхотурский уезд,уезд,Тобольская провинция,,,,,90423.943,,0,0,0,,,,,,,,,,,,
1727,adm_1727_020,Пелымский уезд,уезд,Тобольская провинция,,,,,88821.286,,0,0,0,,,,,,,,,,,,
1727,adm_1727_021,Тобольский уезд,уезд,Тобольская провинция,,,,,111783.898,,0,0,0,,,,,,,,,,,,
1727,adm_1727_022,Тюменский уезд,уезд,Тобольская провинция,,,,,128958.281,,0,0,0,,,,,,,,,,,,
1727,adm_1727_023,Сургутский уезд,уезд,Тобольская провинция,,,,,277539.629,,0,0,0,,,,,,,,,,,,
1727,adm_1727_024,Кетский уезд,уезд,Тобольская провинция,,,,,79619.959,,0,0,0,,,,,,,,,,,,
1745,adm_1745_001,Мангазейский уезд,уезд,Енисейская провинция,,,,,2208785.093,,0,0,0,,,,,,,,,,,,
